# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 23, mean track length: 2
3 -601.78656939032783 -123.75505739066568 2035.5148871509048 13 33 40 2.0268305136972451 4 573 1 40
10 -476.48885865783757 -207.72061514687616 1959.0592788375436 36 10 15 1.0425735821783757 4 816 1 462
13 -558.98704818709712 -158.71943522554955 2018.1474632870288 79 94 99 0.62579339237916054 4 827 1 470
31 -645.67564712960461 -155.90762190306987 2026.3195390603223 2 20 17 1.6214706572954452 4 825 1 983
33 -556.85806670030911 -128.22162179021643 2035.3182966986901 64 87 108 0.97886495199935308 4 1329 1 986
56 -536.92317816259686 -274.66881361308208 1959.8220528963959 115 23 13 1.9118087503820955 4 1496 1 1284
67 -284.69397620387161 210.74530319700844 1466.8703869986225 239 253 255 2.530496415745394 4 1375 1 1354
83 -494.99024867359157 -304.07144017837805 1917.9052760419142 158 29 49 3.3082113538582982 4 1490 1 1466
115 -491.37028192001009 -328.20026271338708 1909.3201447361423 65 7 8 3.8802101144437238 4 1607 1 1618
123 -601.98983596757978 -137.51603338636937 2044.0598057111436 1 3 1 1.556180724170535 4 1621 1 1627
147 -362.42226327371588 67.588750173979278 1966.2680600593726 130 144 146 2.051065779723297 4 1629 1 1726
158 -505.14220822360431 -195.24801525495849 1965.8558802441808 8 8 13 1.0696672994332066 4 1794 1 1799
171 -419.46839203725239 -251.91570432638804 1939.9618529178263 12 13 13 3.6526241134180077 4 1846 1 1874
227 -631.14019350182252 347.27374298296473 935.69604925518456 93 85 79 3.566463768960932 3 1826 4 1057
268 -644.38017542713339 -213.52086241752693 2004.3821996337704 61 89 98 0.69518887753031067 1 1625 4 1616
269 -644.38017542713339 -213.52086241752693 2004.3821996337704 61 89 98 0.69518887753031067 1 1624 4 1617
286 -622.11640854740415 -357.22981783397967 1929.4758420793009 1 2 2 1.7767782524709832 1 1898 4 1868
295 -822.72805922766656 -511.402808468118 1529.5729792500626 183 199 210 3.2276423721041905 1 948 4 796
296 -255.46251557397261 250.32651310158181 1447.1353923902527 2 102 233 2.7216949323695512 1 1387 4 1389
297 -550.03530100169144 -285.26906476961193 1964.6619896960881 133 130 143 1.9491613650903101 1 1470 4 1494
303 -791.62405210366853 -537.82754654591736 1568.9851987085021 12 18 18 1.647351745555564 1 1872 4 1822
306 -270.58827732551146 54.433462328864557 1943.4734969337437 132 148 147 2.8853426053361604 1 1877 4 1848
307 14.632771094318178 203.35205181669744 1838.4364257332629 19 24 25 1.1603667692813007 1 1903 4 1857
