# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 23, mean track length: 2.0869565217391304
8 -42.193152921005861 158.71555245518951 1117.3376207290371 255 237 255 1.4779049306677265 2 547 3 512
10 -9.2389543476399414 190.26034988771076 1059.8166951060559 149 116 191 1.592049627357313 2 415 3 561
14 191.01187040448923 151.62344757931683 1301.7306392906612 152 62 91 0.38238030575054388 2 527 3 1175
17 368.17268195603151 193.55389152191768 1319.1809909975727 232 123 156 3.7348880955279173 3 1210 1 864
18 -26.399692078809874 185.85507375969507 1066.7836751211505 254 245 253 1.2346497697913721 3 953 2 603
19 -44.669764463734239 186.23233400785654 1056.8532888180796 253 242 254 1.4781024593238876 2 606 3 952
20 -98.546620742980963 196.90889930046484 1037.2342773593357 255 235 255 1.567840358446928 2 630 3 966
22 -256.2706959034748 205.79343593721921 996.02340756416777 7 11 23 1.7881155524878798 2 819 3 1356
26 66.765757304285515 119.58312068728007 1274.955732841292 247 188 229 1.2289185991604392 2 793 3 1149
27 31.071607575447423 129.77014499901119 1233.8248280520479 255 207 242 1.6762795691963626 2 711 3 1153
31 186.47982634412224 21.917421191952052 1240.730983390773 86 39 94 0.69610984742320037 2 778 3 1321
32 99.246715834242082 106.02164193464186 1332.0249691020117 76 42 76 1.1493605110910257 2 792 3 1146
36 -26.747912430227544 148.33918933624972 1132.3952495799917 254 244 252 2.1128595949736906 2 802 3 1428
39 334.04562931477813 46.875446387567749 1448.3139019053174 54 24 46 0.44805931843958402 2 892 3 1490
44 400.49120191621137 38.004452218983388 1505.5514402627266 187 44 110 2.23646623669491 3 1489 2 841 4 839
50 37.114939077247328 25.62835362104191 1301.9960397438942 7 1 1 0.22462578401961342 2 940 3 1564
55 326.65181334339519 66.456121299811173 1445.5565679801662 52 23 45 0.67362957582044547 2 961 3 1591
56 47.801761659924622 122.70140443107483 1268.9655335988048 253 201 252 1.5651685810347402 2 966 3 1592
61 -7.7980104114323971 258.25879333311775 932.95211700270318 247 197 239 2.0262778064370872 2 976 3 1577
64 -191.87976401289635 216.20720792576458 1008.0624851626354 3 0 1 0.18175182630023362 2 991 3 1613
66 277.59937549755972 174.43837003577559 1172.92134845136 14 2 4 1.1139598251657312 2 984 3 1611
69 245.40657150329289 -104.57363638370032 1389.3163097776185 221 161 203 1.7300474094980078 3 384 4 382 2 250
70 318.47033984907887 9.4965519614087679 1432.8904308067615 76 30 49 1.3483710478387594 3 1585 4 1034
